date;title;artist;danceability
2018-06-16;Shoota;Playboi Carti Featuring Lil Uzi Vert;unknown
2018-06-16;Watch;Travis Scott Featuring Lil Uzi Vert & Kanye West;unknown
2018-06-09;A$AP Forever;A$AP Rocky Featuring Moby;unknown
2018-06-09;All The Stars;Kendrick Lamar & SZA;698
2018-06-09;Dinero;Jennifer Lopez Featuring DJ Khaled & Cardi B;unknown
2018-06-09;Everyday;Logic & Marshmello;668
2018-06-09;For The First Time;Darius Rucker;547
2018-06-09;High Hopes;Panic! At The Disco;579
2018-06-09;If You Know You Know;Pusha T;0.46
2018-06-09;Infrared;Pusha T;674
2018-06-09;King's Dead;Jay Rock, Kendrick Lamar, Future & James Blake;563
2018-06-09;Moonlight;XXXTENTACION;921
2018-06-09;Most People Are Good;Luke Bryan;582
2018-06-09;Ric Flair Drip;Offset & Metro Boomin;727
2018-06-09;Spoil My Night;Post Malone Featuring Swae Lee;unknown
2018-06-09;The Games We Play;Pusha T;694
2018-06-09;What Would Meek Do?;Pusha T Featuring Kanye West;unknown
2018-06-09;Youth;Shawn Mendes Featuring Khalid;unknown
2018-06-02;ATM;J. Cole;719
2018-06-02;Champion;NAV Featuring Travis Scott;unknown
2018-06-02;Change Lanes;Kevin Gates;706
2018-06-02;Don't Go Breaking My Heart;Backstreet Boys;541
2018-06-02;Downtown's Dead;Sam Hunt;624
2018-06-02;Gucci Flip Flops;Bhad Bhabie Featuring Lil Yachty;unknown
2018-06-02;Kevin's Heart;J. Cole;829
2018-06-02;Let It Sing;Kevin Gates;737
2018-06-02;Like That;Kris Wu;823
2018-06-02;No Excuses;Meghan Trainor;827
2018-06-02;Outside Today;YoungBoy Never Broke Again;851
2018-06-02;Red Roses;Lil Skies Featuring Landon Cube;unknown
2018-06-02;Sangria Wine;Pharrell Williams x Camila Cabello;831
2018-06-02;Southside;Lil Baby;811
2018-06-02;Stay;Post Malone;479
2018-05-26;92 Explorer;Post Malone;802
2018-05-26;Cry Pretty;Carrie Underwood;351
2018-05-26;Over Now;Post Malone;559
2018-05-26;Same Bitches;Post Malone Featuring G-Eazy & YG;unknown
2018-05-26;Say Something;Justin Timberlake Featuring Chris Stapleton;unknown
2018-05-26;Stir Fry;Migos;815
2018-05-26;Takin' Shots;Post Malone;767
2018-05-26;When We;Tank;589
2018-05-26;Zack And Codeine;Post Malone;742
2018-05-19;Barbie Tingz;Nicki Minaj;917
2018-05-19;Bartier Cardi;Cardi B Featuring 21 Savage;unknown
2018-05-19;Blame It On Me;Post Malone;651
2018-05-19;Diamond Teeth Samurai;YoungBoy Never Broke Again;799
2018-05-19;Famous;Mason Ramsey;534
2018-05-19;I Do;Cardi B Featuring SZA;unknown
2018-05-19;Otherside;Post Malone;645
2018-05-19;Preach;YoungBoy Never Broke Again;731
2018-05-12;1985 (Intro To The Fall Off);J. Cole;678
2018-05-12;Candy Paint;Post Malone;0.67
2018-05-12;Changes;XXXTENTACION;669
2018-05-12;Jonestown (Interlude);Post Malone;341
2018-05-12;Motiv8;J. Cole;869
2018-05-12;Photograph;J. Cole;825
2018-05-12;Ring;Cardi B Featuring Kehlani;unknown
2018-05-12;Sugar Wraith;Post Malone;0.6
2018-05-12;Ye vs The People;Kanye West Featuring T.I.;unknown
2018-05-05;Best Life;Cardi B Featuring Chance The Rapper;unknown
2018-05-05;Brackets;J. Cole;675
2018-05-05;Close;Rae Sremmurd & Travis Scott;unknown
2018-05-05;Feel It Still;Portugal. The Man;801
2018-05-05;Friends;J. Cole Featuring kiLL edward;unknown
2018-05-05;Intro;J. Cole;678
2018-05-05;Let You Down;NF;656
2018-05-05;Once An Addict (Interlude);J. Cole;548
2018-05-05;The Cut Off;J. Cole Featuring kiLL edward;unknown
2018-05-05;The Long Way;Brett Eldredge;488
2018-05-05;This Is Me;Keala Settle & The Greatest Showman Ensemble;419
2018-05-05;Thru Your Phone;Cardi B;837
2018-05-05;Thunder;Imagine Dragons;605
2018-05-05;Wake Me Up!;Avicii;518
2018-05-05;Window Pain (Outro);J. Cole;0.72
2018-04-28;Anybody;Young Thug Featuring Nicki Minaj;unknown
2018-04-28;Bad At Love;Halsey;675
2018-04-28;Bickenhead;Cardi B;884
2018-04-28;Billy;6ix9ine;764
2018-04-28;Broken Clocks;SZA;684
2018-04-28;Five More Minutes;Scotty McCreery;517
2018-04-28;Get Up 10;Cardi B;806
2018-04-28;Get You;Daniel Caesar Featuring Kali Uchis;unknown
2018-04-28;Gotti;6ix9ine;728
2018-04-28;Guatemala;Swae Lee Featuring Slim Jxmmi;unknown
2018-04-28;Hardaway;Derez De'Shon;537
2018-04-28;Him & I;G-Eazy & Halsey;589
2018-04-28;I Fall Apart;Post Malone;556
2018-04-28;Let Me;Zayn;0.46
2018-04-28;Lights Down Low;MAX Featuring gnash;unknown
2018-04-28;Marry Me;Thomas Rhett;588
2018-04-28;Money Bag;Cardi B;947
2018-04-28;She Bad;Cardi B & YG;unknown
2018-04-28;She's With Me;High Valley;599
2018-04-28;Top Off;DJ Khaled Featuring JAY Z, Future & B;unknown
2018-04-28;Wasted Times;The Weeknd;562
2018-04-21;All On Me;Devin Dawson;634
2018-04-21;Broken Halos;Chris Stapleton;607
2018-04-21;Medicine;Queen Naija;741
2018-04-21;No Roots;Alice Merton;863
2018-04-21;Proud;2 Chainz Featuring YG & Offset;unknown
2018-04-21;Tell Me You Love Me;Demi Lovato;536
2018-04-21;Try Me;The Weeknd;466
2018-04-14;Beautiful Trauma;P!nk;489
2018-04-14;Echame La Culpa;Luis Fonsi & Demi Lovato;726
2018-04-14;Focus;H.E.R.;415
2018-04-14;Hurt You;The Weeknd Featuring Gesaffelstein;unknown
2018-04-14;I Was Never There;The Weeknd Featuring Gesaffelstein;unknown
2018-04-14;La Modelo;Ozuna x Cardi B;unknown
2018-04-14;Lemon;N*E*R*D & Rihanna;unknown
2018-04-14;NBAYoungboat;Lil Yachty Featuring NBA YoungBoy;unknown
2018-04-14;No Smoke;YoungBoy Never Broke Again;658
2018-04-14;Nowadays;Lil Skies Featuring Landon Cube;unknown
2018-04-14;OKRA;Tyler, The Creator;589
2018-04-14;Privilege;The Weeknd;391
2018-04-14;Say Amen (Saturday Night);Panic! At The Disco;491
2018-04-14;Tempo;Chris Brown;769
2018-04-14;Written In The Sand;Old Dominion;725
2018-04-07;44 More;Logic;829
2018-04-07;Betrayed;Lil Xan;823
2018-04-07;Booty;Blac Youngsta;938
2018-04-07;Dark Knight Dummo;Trippie Redd Featuring Travis Scott;unknown
2018-04-07;Gummo;6ix9ine;0.66
2018-04-07;Lost In Japan;Shawn Mendes;708
2018-04-07;Love.;Kendrick Lamar Featuring Zacari;unknown
2018-04-07;MotorSport;Migos, Nicki Minaj & Cardi B;698
2018-04-07;Narcos;Migos;936
2018-04-07;No Limit;G-Eazy Featuring A$AP Rocky & Cardi B;unknown
2018-04-07;Pick It Up;Famous Dex Featuring A$AP Rocky;unknown
2018-04-07;Rubbin Off The Paint;YBN Nahmir;596
2018-04-07;The Remedy For A Broke Heart;XXXTENTACION;unknown
2018-04-07;Wolves;Selena Gomez X Marshmello;unknown
2018-03-31;At The Club;Jacquees X Dej Loaf;unknown
2018-03-31;Everybody Hates Me;The Chainsmokers;471
2018-03-31;Found / Tonight;Lin-Manuel Miranda & Ben Platt;unknown
2018-03-31;Going Down!;XXXTENTACION;873
2018-03-31;How Long;Charlie Puth;845
2018-03-31;Infinity (888);XXXTENTACION Featuring Joey Bada$$;unknown
2018-03-31;Numb;XXXTENTACION;414
2018-03-31;Sky Walker;Miguel Featuring Travis Scott;unknown
2018-03-31;Young Dumb & Broke;Khalid;798
2018-03-24;66;Lil Yachty Featuring Trippie Redd;unknown
2018-03-24;Boom!;Lil Yachty Featuring Ugly God;unknown
2018-03-24;BoomTrap Protocol;Logic;746
2018-03-24;Contra;Logic;805
2018-03-24;Indica Badu;Logic Featuring Wiz Khalifa;unknown
2018-03-24;Midnight;Logic;566
2018-03-24;Overnight;Logic;868
2018-03-24;Plain Jane;A$AP Ferg Featuring Nicki Minaj;unknown
2018-03-24;River;Eminem Featuring Ed Sheeran;unknown
2018-03-24;Sorry Not Sorry;Demi Lovato;702
2018-03-24;Warm It Up;Logic Featuring Young Sinatra;unknown
2018-03-24;Wassup;Logic Featuring Big Sean;unknown
2018-03-24;X;ScHoolboy Q, 2 Chainz & Saudi;768
2018-03-24;Yuck;Logic;631
2018-03-17;Corazon;Maluma X Nego do Borel;unknown
2018-03-17;Good Old Days;Macklemore Featuring Kesha;unknown
2018-03-17;Keke;6ix9ine, Fetty Wap & A Boogie Wit da Hoodie;unknown
2018-03-17;Paramedic!;SOB X RBE;856
2018-03-17;Stranger Things;Joyner Lucas & Chris Brown;924
2018-03-17;The Champion;Carrie Underwood Featuring Ludacris;unknown
2018-03-10;Bodak Yellow (Money Moves);Cardi B;813
2018-03-10;Break Up In The End;Cole Swindell;0.51
2018-03-10;Codeine Dreaming;Kodak Black Featuring Lil Wayne;unknown
2018-03-10;Kooda;6ix9ine;885
2018-03-10;Make Me Feel;Janelle Monae;859
2018-03-10;Mayores;Becky G Featuring Bad Bunny;unknown
2018-03-10;Notice Me;Migos Featuring Post Malone;unknown
2018-03-10;Rock;Plies;852
2018-03-10;Rondo;6ix9ine Featuring Tory Lanez & Young Thug;unknown
2018-03-10;The Ways;Khalid & Swae Lee;727
2018-03-10;Want You Back;5 Seconds Of Summer;618
2018-03-10;You Broke Up With Me;Walker Hayes;846
2018-03-10;Yours;Russell Dickerson;555
2018-03-03;Big Shot;Kendrick Lamar & Travis Scott;855
2018-03-03;End Game;Taylor Swift Featuring Ed Sheeran & Future;unknown
2018-03-03;Female;Keith Urban;567
2018-03-03;For You (Fifty Shades Freed);Liam Payne & Rita Ora;541
2018-03-03;Gucci Gang;Lil Pump;936
2018-03-03;I Get The Bag;Gucci Mane Featuring Migos;unknown
2018-03-03;Legends;Kelsea Ballerini;575
2018-03-03;Let Me Go;Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt;unknown
2018-03-03;One Foot;WALK THE MOON;581
2018-03-03;Shape Of You;Ed Sheeran;825
2018-03-03;Too Good At Goodbyes;Sam Smith;661
2018-02-24;1-800-273-8255;Logic Featuring Alessia Cara & Khalid;unknown
2018-02-24;Black Panther;Kendrick Lamar;698
2018-02-24;Criminal;Natti Natasha x Ozuna;0.74
2018-02-24;Filthy;Justin Timberlake;745
2018-02-24;Rewrite The Stars;Zac Efron & Zendaya;698
2018-02-24;Roll In Peace;Kodak Black Featuring XXXTENTACION;unknown
2018-02-17;A Girl Like You;Easton Corbin;0.74
2018-02-17;BBO (Bad Bitches Only);Migos Featuring 21 Savage;unknown
2018-02-17;Diplomatic Immunity;Drake;654
2018-02-17;Like I Loved You;Brett Young;582
2018-02-17;Losing Sleep;Chris Young;584
2018-02-17;Man Of The Woods;Justin Timberlake;707
2018-02-17;Sick Boy;The Chainsmokers;532
2018-02-17;Supplies;Justin Timberlake;793
2018-02-10;Auto Pilot;Migos;924
2018-02-10;Believer;Imagine Dragons;776
2018-02-10;Best Friend;Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno;unknown
2018-02-10;CC;Migos Featuring Gucci Mane;unknown
2018-02-10;Emoji A Chain;Migos;891
2018-02-10;Gang Gang;Migos;635
2018-02-10;Higher We Go (Intro);Migos;815
2018-02-10;MIC Drop;BTS Featuring Desiigner;unknown
2018-02-10;Round Here Buzz;Eric Church;638
2018-02-10;Supastars;Migos;781
2018-02-10;The Way Life Goes;Lil Uzi Vert Featuring Nicki Minaj;unknown
2018-02-10;White Sand;Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean;unknown
2018-02-03;Attention;Charlie Puth;775
2018-02-03;Bank Account;21 Savage;884
2018-02-03;Greatest Love Story;LANCO;671
2018-02-03;I'll Name The Dogs;Blake Shelton;0.47
2018-02-03;Ice Tray;Quavo & Lil Yachty;889
2018-02-03;Mi Gente;J Balvin & Willy William Featuring Beyonce;unknown
2018-02-03;My Dawg;Lil Baby;911
2018-02-03;Never Enough;Loren Allred;277
2018-02-03;No Name;NF;726
2018-02-03;Pills And Automobiles;Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black;unknown
2018-02-03;The Greatest Show;Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble;417
2018-02-03;Unforgettable;French Montana Featuring Swae Lee;unknown
2018-02-03;What Lovers Do;Maroon 5 Featuring SZA;unknown
2018-01-27;...Ready For It?;Taylor Swift;613
2018-01-27;El Bano;Enrique Iglesias Featuring Bad Bunny;unknown
2018-01-27;Krippy Kush;Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian;unknown
2018-01-27;My My My!;Troye Sivan;701
2018-01-27;Silence;Marshmello Featuring Khalid;unknown
2018-01-27;The Weekend;SZA;487
2018-01-20;Despacito;Luis Fonsi & Daddy Yankee Featuring Justin Bieber;unknown
2018-01-20;Home;Machine Gun Kelly, X Ambassadors & Bebe Rexha;653
2018-01-20;I Could Use A Love Song;Maren Morris;638
2018-01-20;I Miss You;Clean Bandit Featuring Julia Michaels;unknown
2018-01-20;Juice;Yo Gotti;887
2018-01-20;That's What I Like;Bruno Mars;853
2018-01-20;Too Much To Ask;Niall Horan;509
2018-01-13;Dusk Till Dawn;Zayn Featuring Sia;unknown
2018-01-13;F**k Love;XXXTENTACION Featuring Trippie Redd;unknown
2018-01-13;Light It Up;Luke Bryan;602
2018-01-13;Look What You Made Me Do;Taylor Swift;766
2018-01-13;Wanted You;NAV Featuring Lil Uzi Vert;unknown
2018-01-13;What About Us;P!nk;489
2018-01-06;A Holly Jolly Christmas;Burl Ives;674
2018-01-06;All I Want For Christmas Is You;Mariah Carey;335
2018-01-06;Black & Chinese;Huncho Jack;663
2018-01-06;Dubai Shit;Huncho Jack Featuring Offset;unknown
2018-01-06;Eye 2 Eye;Huncho Jack Featuring Takeoff;unknown
2018-01-06;Huncho Jack;Huncho Jack;857
2018-01-06;It's The Most Wonderful Time Of The Year;Andy Williams;0.24
2018-01-06;Modern Slavery;Huncho Jack;737
2018-01-06;Motorcycle Patches;Huncho Jack;0.87
2018-01-06;Rockin' Around The Christmas Tree;Brenda Lee;691
2018-01-06;Saint;Huncho Jack;857
2018-01-06;The Christmas Song (Merry Christmas To You);Nat King Cole;359
2018-01-06;The Race;Tay-K;766
2018-01-06;Thunder/Young Dumb & Broke (Medley);Imagine Dragons + Khalid;437
2018-01-06;Walk On Water;Eminem Featuring Beyonce;unknown
2017-12-31;...Ready For It?;taylor swift;616
2017-12-31;1-800-273-8255;logic;629
2017-12-31;A Holly Jolly Christmas;burl ives;665
2017-12-31;All I Want For Christmas Is You;mariah carey;335
2017-12-31;Attention;charlie puth;774
2017-12-31;Bad At Love;halsey;675
2017-12-31;Bank Account;21 savage;884
2017-12-31;Bartier Cardi;cardi b;908
2017-12-31;Believer;imagine dragons;784
2017-12-31;Betrayed;lil xan;823
2017-12-31;Black & Chinese;huncho jack;663
2017-12-31;Bodak Yellow (Money Moves);cardi b;926
2017-12-31;Candy Paint;post malone;765
2017-12-31;Codeine Dreaming;kodak black;736
2017-12-31;Despacito;luis fonsi;0.63
2017-12-31;Dubai Shit;huncho jack;767
2017-12-31;Dusk Till Dawn;zayn;258
2017-12-31;Echame La Culpa;luis fonsi;726
2017-12-31;End Game;taylor swift;453
2017-12-31;Eye 2 Eye;huncho jack;811
2017-12-31;F**k Love;xxxtentacion;797
2017-12-31;Feel It Still;portugal. the man;801
2017-12-31;Five More Minutes;scotty mccreery;517
2017-12-31;Good Old Days;macklemore;712
2017-12-31;Greatest Love Story;lanco;671
2017-12-31;Gucci Gang;lil pump;936
2017-12-31;Gummo;6ix9ine;689
2017-12-31;Havana;camila cabello;765
2017-12-31;Him & I;g-eazy;589
2017-12-31;Home;machine gun kelly,;653
2017-12-31;How Long;charlie puth;849
2017-12-31;Huncho Jack;huncho jack;857
2017-12-31;I Could Use A Love Song;maren morris;638
2017-12-31;I Fall Apart;post malone;573
2017-12-31;I Get The Bag;gucci mane;0.89
2017-12-31;I'll Name The Dogs;blake shelton;0.47
2017-12-31;Ice Tray;quavo;889
2017-12-31;It's The Most Wonderful Time Of The Year;andy williams;0.24
2017-12-31;Juice;yo gotti;887
2017-12-31;Kooda;6ix9ine;888
2017-12-31;Krippy Kush;farruko, nicki minaj, bad bunny, 21 savage;708
2017-12-31;La Modelo;ozuna;822
2017-12-31;Legends;kelsea ballerini;575
2017-12-31;Lemon;n*e*r*d;777
2017-12-31;Let Me Go;hailee steinfeld;667
2017-12-31;Let You Down;nf;656
2017-12-31;Light It Up;luke bryan;602
2017-12-31;Lights Down Low;max;623
2017-12-31;Like I Loved You;brett young;579
2017-12-31;Look What You Made Me Do;taylor swift;769
2017-12-31;Losing Sleep;chris young;584
2017-12-31;Love.;kendrick lamar;798
2017-12-31;Marry Me;thomas rhett;588
2017-12-31;Mayores;becky g;743
2017-12-31;Meant To Be;bebe rexha;643
2017-12-31;Mi Gente;j balvin;535
2017-12-31;MIC Drop;bts;613
2017-12-31;Modern Slavery;huncho jack;737
2017-12-31;Motorcycle Patches;huncho jack;0.87
2017-12-31;MotorSport;migos, nicki minaj;896
2017-12-31;My Dawg;lil baby;911
2017-12-31;New Rules;dua lipa;771
2017-12-31;No Limit;g-eazy;838
2017-12-31;No Smoke;youngboy never broke again;658
2017-12-31;Perfect;ed sheeran;587
2017-12-31;Pick It Up;famous dex;921
2017-12-31;Pills And Automobiles;chris brown;0.82
2017-12-31;Plain Jane;a$ap ferg;797
2017-12-31;Ric Flair Drip;offset;0.88
2017-12-31;River;eminem;754
2017-12-31;Rockin' Around The Christmas Tree;brenda lee;676
2017-12-31;Rockstar;post malone;575
2017-12-31;Roll In Peace;kodak black;747
2017-12-31;Round Here Buzz;eric church;639
2017-12-31;Rubbin Off The Paint;ybn nahmir;596
2017-12-31;Saint;huncho jack;857
2017-12-31;Shape Of You;ed sheeran;825
2017-12-31;Silence;marshmello;0.52
2017-12-31;Sky Walker;miguel;674
2017-12-31;Sorry Not Sorry;demi lovato;702
2017-12-31;Stir Fry;migos;815
2017-12-31;Tell Me You Love Me;demi lovato;536
2017-12-31;That's What I Like;bruno mars;853
2017-12-31;The Christmas Song (Merry Christmas To You);nat king cole;359
2017-12-31;The Race;tay-k;766
2017-12-31;The Way Life Goes;lil uzi vert;703
2017-12-31;The Weekend;sza;775
2017-12-31;Thunder;imagine dragons;601
2017-12-31;Thunder/Young Dumb & Broke (Medley);imagine dragons + khalid;437
2017-12-31;Too Good At Goodbyes;sam smith;661
2017-12-31;Too Much To Ask;niall horan;509
2017-12-31;Unforgettable;french montana;726
2017-12-31;Walk On Water;eminem;0.56
2017-12-31;What About Us;p!nk;489
2017-12-31;What Lovers Do;maroon 5;792
2017-12-31;Wolves;selena gomez;0.72
2017-12-31;Written In The Sand;old dominion;725
2017-12-31;You Broke Up With Me;walker hayes;846
2017-12-31;Young Dumb & Broke;khalid;798
2017-12-31;Yours;russell dickerson;555
2017-12-30;All On Me;devin dawson;634
2017-12-30;Danger;migos;814
2017-12-30;Dark Knight Dummo;trippie redd;379
2017-12-30;Faking It;calvin harris;776
2017-12-30;Ghostface Killers;21 savage, offset;782
2017-12-30;Go Legend;big sean;653
2017-12-30;Humble.;kendrick lamar;904
2017-12-30;Jocelyn Flores;xxxtentacion;872
2017-12-30;Last Christmas;wham!;735
2017-12-30;Never Be The Same;camila cabello;643
2017-12-30;Pull Up N Wreck;big sean;487
2017-12-30;There's Nothing Holdin' Me Back;shawn mendes;858
2017-12-30;Unforgettable;thomas rhett;663
2017-12-30;Untouchable;eminem;641
2017-12-30;Wanted You;nav;793
2017-12-30;When It Rains It Pours;luke combs;551
2017-12-30;When We;tank;635
2017-12-21;Congratulations;post malone;627
2017-12-21;Shape Of You;ed sheeran;825
2017-12-21;Despacito;luis fonsi;0.63
2017-12-21;That's What I Like;bruno mars;853
2017-12-21;Believer;imagine dragons;784
2017-12-21;Humble.;kendrick lamar;904
2017-12-21;Unforgettable;french montana;726
2017-12-21;Attention;charlie puth;774
2017-12-21;There's Nothing Holdin' Me Back;shawn mendes;858
2017-12-21;Thunder;imagine dragons;601
2017-12-21;1-800-273-8255;logic;629
2017-12-21;Feel It Still;portugal. the man;801
2017-12-21;Love.;kendrick lamar;798
2017-12-21;Bodak Yellow (Money Moves);cardi b;926
2017-12-21;Mi Gente;j balvin;535
2017-12-21;Sorry Not Sorry;demi lovato;702
2017-12-21;Bank Account;21 savage;884
2017-12-21;All I Want For Christmas Is You;mariah carey;335
2017-12-21;Young Dumb & Broke;khalid;798
2017-12-21;New Rules;dua lipa;771
2017-12-21;Rockin' Around The Christmas Tree;brenda lee;676
2017-12-21;The Weekend;sza;775
2017-12-21;When It Rains It Pours;luke combs;551
2017-12-21;Unforgettable;thomas rhett;663
2017-12-21;What About Us;p!nk;489
2017-12-21;The Race;tay-k;766
2017-12-21;Havana;camila cabello;765
2017-12-21;Silence;marshmello;0.52
2017-12-21;I Get The Bag;gucci mane;0.89
2017-12-21;Roll In Peace;kodak black;747
2017-12-21;Look What You Made Me Do;taylor swift;769
2017-12-21;I Could Use A Love Song;maren morris;638
2017-12-21;Transportin';kodak black;804
2017-12-21;Perfect;ed sheeran;587
2017-12-21;What Lovers Do;maroon 5;792
2017-12-21;The Way Life Goes;lil uzi vert;703
2017-12-21;Light It Up;luke bryan;602
2017-12-21;Jocelyn Flores;xxxtentacion;872
